USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  23248 13428 ?        Ss   14:32   0:01 /sbin/init splash
root        3312  0.0  0.0 1671608 4352 ?        Sl   14:33   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 8000 -container-ip 172.24.0.2 -container-port 80 -use-listen-fd
root        3318  0.0  0.0 1597620 4224 ?        Sl   14:33   0:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 8000 -container-ip 172.24.0.2 -container-port 80 -use-listen-fd
www-data    3350  0.0  0.0 223508  8576 ?        S    14:33   0:00 apache2 -DFOREGROUND
www-data    3351  0.0  0.0 223508  8576 ?        S    14:33   0:00 apache2 -DFOREGROUND
www-data    3352  0.0  0.0 223508  8576 ?        S    14:33   0:00 apache2 -DFOREGROUND
www-data    3353  0.0  0.0 223508  8576 ?        S    14:33   0:00 apache2 -DFOREGROUND
www-data    3354  0.0  0.0 223508  8576 ?        S    14:33   0:00 apache2 -DFOREGROUND
root        3378  0.0  0.0      0     0 ?        I    14:33   0:00 [kworker/1:3-events]
dam         3391  0.0  0.0  20616 11776 ?        Ss   14:33   0:00 /usr/lib/systemd/systemd --user
dam         3392  0.0  0.0  23240  3688 ?        S    14:33   0:00 (sd-pam)
dam         3401  0.0  0.0 118948 14436 ?        S<sl 14:33   0:00 /usr/bin/pipewire
dam         3402  0.0  0.0 100352  5760 ?        Ssl  14:33   0:00 /usr/bin/pipewire -c filter-chain.conf
dam         3404  0.0  0.0  41208 25344 ?        Ss   14:33   0:00 /usr/bin/python3 /usr/bin/powerline-daemon --foreground
dam         3405  0.0  0.1 570540 32584 ?        S<sl 14:33   0:00 /usr/bin/wireplumber
dam         3406  0.0  0.0 124208 21824 ?        S<sl 14:33   0:00 /usr/bin/pipewire-pulse
dam         3407  0.0  0.0 319488 10496 ?        SLsl 14:33   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1001/keyring
dam         3408  0.0  0.0  10356  5376 ?        Ss   14:33   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
dam         3433  0.0  0.0 477952 14720 ?        Ssl  14:33   0:00 /usr/lib/x86_64-linux-gnu/cinnamon-session-binary --session cinnamon
dam         3646  0.0  0.0 453224 25152 ?        Sl   14:33   0:00 /usr/bin/csd-automount
dam         3647  0.0  0.0 304208  5888 ?        Sl   14:33   0:00 /usr/bin/csd-settings-remap
dam         3648  0.0  0.0 528080 26100 ?        Sl   14:33   0:00 /usr/bin/csd-power
dam         3650  0.0  0.0 379312 24652 ?        Sl   14:33   0:00 /usr/bin/csd-housekeeping
dam         3651  0.0  0.0 379776 25288 ?        Sl   14:33   0:00 /usr/bin/csd-wacom
dam         3652  0.0  0.0 541440 26868 ?        Sl   14:33   0:00 /usr/bin/csd-color
dam         3656  0.0  0.1 446332 34056 ?        Sl   14:33   0:00 /usr/bin/csd-background
